field_ID,bee_species,sex,park,transect_ID,method,date,type,taxonomy_notes
ANTI 38,Augochlorella aurata,f,ANTI,T2,pan trap,7/20/2021,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,net,hand net,7/20/2021,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,7/20/2021,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,7/20/2021,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,net,hand net,6/29/2022,warm season-multi,NA
ANTI 38,Augochlorella aurata,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,NA
ANTI 4,Augochlorella aurata,f,ANTI,T175,pan trap,7/13/2021,cool season-pasture,NA
ANTI 4,Augochlorella aurata,f,ANTI,T175,pan trap,7/13/2021,cool season-pasture,NA
ANTI 4,Augochlorella aurata,f,ANTI,T175,pan trap,7/13/2021,cool season-pasture,NA
ANTI 4,Augochlorella aurata,f,ANTI,T178,pan trap,7/13/2021,cool season-pasture,NA
ANTI 5,Augochlorella aurata,f,ANTI,T172,pan trap,6/8/2021,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T172,pan trap,6/8/2021,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T172,pan trap,6/8/2021,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,8/2/2021,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,8/2/2021,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T172,pan trap,7/13/2022,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T172,pan trap,7/13/2022,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,NA
ANTI 5,Augochlorella aurata,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,NA
ANTI 7,Augochlorella aurata,f,ANTI,net,hand net,7/20/2021,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T49,pan trap,7/20/2021,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 7,Augochlorella aurata,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T45,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T45,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T45,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T45,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,9/7/2021,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,5/26/2022,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,5/26/2022,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,5/26/2022,cool season-pasture,NA
ANTI 8,Augochlorella aurata,f,ANTI,T44,pan trap,5/26/2022,cool season-pasture,NA
CHOH 0,Augochlorella aurata,f,CHOH,T111,pan trap,7/18/2022,cool season-hay,NA
CHOH 0,Augochlorella aurata,f,CHOH,T110,pan trap,7/18/2022,cool season-hay,NA
CHOH 0,Augochlorella aurata,f,CHOH,T110,pan trap,7/18/2022,cool season-hay,NA
CHOH 0,Augochlorella aurata,f,CHOH,T110,pan trap,7/18/2022,cool season-hay,NA
CHOH 0,Augochlorella aurata,f,CHOH,T111,pan trap,7/18/2022,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T222,pan trap,7/13/2021,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T219,pan trap,7/18/2022,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T219,pan trap,7/18/2022,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T219,pan trap,7/18/2022,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T224,pan trap,7/18/2022,cool season-hay,NA
CHOH 1_3,Augochlorella aurata,f,CHOH,T219,pan trap,7/18/2022,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T117,pan trap,6/15/2021,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T117,pan trap,6/15/2021,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T116,pan trap,6/15/2021,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T115,pan trap,8/4/2021,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T116,pan trap,8/4/2021,cool season-hay,NA
CHOH 2,Augochlorella aurata,f,CHOH,T116,pan trap,8/4/2021,cool season-hay,NA
CHOH 8,Augochlorella aurata,f,CHOH,T215,pan trap,6/15/2021,cool season-hay,NA
CHOH 8,Augochlorella aurata,f,CHOH,T213,pan trap,8/4/2021,cool season-hay,NA
CHOH 8,Augochlorella aurata,f,CHOH,T213,pan trap,8/4/2021,cool season-hay,NA
CHOH 8,Augochlorella aurata,f,CHOH,T215,pan trap,6/14/2022,cool season-hay,NA
CHOH 8,Augochlorella aurata,m,CHOH,net,hand net,8/16/2022,cool season-hay,NA
CHOH 8,Augochlorella aurata,f,CHOH,T213,pan trap,8/16/2022,cool season-hay,NA
CHOH 9,Augochlorella aurata,f,CHOH,net,hand net,8/2/2021,cool season-hay,NA
MANA 0,Augochlorella aurata,f,MANA,T132,pan trap,5/25/2021,cool season-hay,NA
MANA 0,Augochlorella aurata,f,MANA,net,hand net,5/27/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,net,hand net,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,net,hand net,7/15/2021,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T135,pan trap,6/27/2022,cool season-hay,NA
MANA 1,Augochlorella aurata,f,MANA,T136,pan trap,8/8/2022,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T198,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T199,pan trap,7/15/2021,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T197,pan trap,7/11/2022,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T197,pan trap,7/11/2022,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T197,pan trap,7/11/2022,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T197,pan trap,7/11/2022,cool season-hay,NA
MANA 16,Augochlorella aurata,f,MANA,T197,pan trap,7/11/2022,cool season-hay,NA
MANA 21,Augochlorella aurata,f,MANA,T202,pan trap,5/25/2021,cool season-hay,NA
MANA 21,Augochlorella aurata,f,MANA,net,hand net,7/26/2021,cool season-hay,NA
MANA 21,Augochlorella aurata,f,MANA,T201,pan trap,8/8/2022,cool season-hay,NA
MANA 43,Augochlorella aurata,m,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,net,hand net,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,net,hand net,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,net,hand net,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T143,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,7/26/2021,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,6/27/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T143,pan trap,6/27/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 43,Augochlorella aurata,f,MANA,T142,pan trap,8/8/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/7/2021,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/7/2021,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,net,hand net,7/8/2021,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,net,hand net,7/8/2021,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/11/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/11/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/11/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/11/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,T147,pan trap,7/11/2022,warm season-multi,NA
MANA 48,Augochlorella aurata,f,MANA,net,hand net,7/12/2022,warm season-multi,NA
MANA 49,Augochlorella aurata,f,MANA,T156,pan trap,7/15/2021,warm season-multi,NA
MANA 49,Augochlorella aurata,f,MANA,T151,pan trap,5/31/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T161,pan trap,6/30/2021,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,net,hand net,7/1/2021,warm season-multi,NA
MANA 57,Augochlorella aurata,m,MANA,T165,pan trap,9/2/2021,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T163,pan trap,9/2/2021,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 57,Augochlorella aurata,f,MANA,T165,pan trap,7/11/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T204,pan trap,6/1/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,net,hand net,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T206,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,7/26/2021,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T203,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T203,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T203,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T203,pan trap,6/27/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,8/18/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,8/18/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,8/18/2022,warm season-multi,NA
MANA 61,Augochlorella aurata,f,MANA,T205,pan trap,8/18/2022,warm season-multi,NA
MANA 8,Augochlorella aurata,f,MANA,T139,pan trap,5/25/2021,cool season-hay,NA
MANA 8,Augochlorella aurata,f,MANA,T138,pan trap,6/1/2021,cool season-hay,NA
MANA 8,Augochlorella aurata,f,MANA,T138,pan trap,6/1/2021,cool season-hay,NA
MANA 8,Augochlorella aurata,f,MANA,net,hand net,8/26/2021,cool season-hay,NA
MANA 8,Augochlorella aurata,f,MANA,net,hand net,6/1/2022,cool season-hay,NA
MONO 149,Augochlorella aurata,f,MONO,T68,pan trap,5/20/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T68,pan trap,5/20/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
MONO 149,Augochlorella aurata,f,MONO,T70,pan trap,7/22/2021,warm season-multi,NA
